Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan
Sova4u,F,D,None,None,None
Tina,D,C,E,E,D
Ashton,E,E,C,B,A
2ndHand Lion,F,E,E,F,F
Sherm,A,A,A,A,A
Michael,B,C,C,C,A
LuckyGirl2,D,C,C,C,C
Whackhead,F,E,E,E,E
Dewlap,C,B,B,B,None
Betterwetter,C,B,B,None,None
Venician3,None,None,G,None,None
LuckyGirl,None,None,None,None,None
Dennis,F,D,D,E,E
Zephyr2,C,F,C,B,B
Cal,None,None,F,D,D
Corey,B,D,D,D,E
Robin,G,A,A,C,B
Victor,D,E,E,E,D
Rhyno,G,G,G,G,None
GCJimmy,A,E,E,E,E
Brooke,F,G,G,E,E
Jason,None,None,G,E,E
Jason,None,None,F,F,F
TofuDaLegend,H,G,None,None,None
Brandon22,E,F,F,F,F
Davis,E,G,G,E,F
BK84,F,F,F,F,F
Graciebear,None,None,None,None,G
TrippinMocha,E,G,G,G,None
Go2urhome!!!,None,None,None,A,A
Brian,A,C,D,D,D
SirSliceAlot,C,B,B,None,None
Rory,C,B,D,A,A
Curtis,B,F,F,E,E
Falcon,None,A,A,A,A
Steve C,E,E,E,E,E
Whole N Juan,F,F,F,F,E
Buddy,G,F,D,D,D
Martin,E,D,D,C,A
Jonathan,C,A,A,A,A
NoWinForYou,E,G,G,G,F
Neal3,None,None,E,None,None
Dave,A,B,D,C,C
Dave Jr.,G,G,G,G,G
Scott,None,C,A,C,None
Found it!,B,B,B,B,B
John,D,E,E,E,D
Craig,C,C,D,A,C
